title,description,organization,category,prerequisites,url,platform,format,project,difficulty,duration
Computer Basics,Comprehensive introduction to computer fundamentals including hardware components operating systems file management and basic troubleshooting skills essential for anyone starting their technology journey,LearnFree,computer,,https://www.learnfree.org/series/computer-basics,learnfree,course,0,0,8
Basic Computer Skills,Essential computer skills covering mouse and keyboard usage file organization internet browsing email basics and fundamental software operations for everyday computing tasks,LearnFree,computer,,https://www.learnfree.org/series/basic-computer-skills,learnfree,course,0,0,6
Computer Science Fundamentals,Introduction to core computer science concepts including algorithms programming logic data structures and computational thinking designed to build foundational knowledge for technical careers,LearnFree,computer,,https://www.learnfree.org/series/computer-science,learnfree,course,0,1,10
Tech Savvy Skills,Modern digital literacy skills including cloud computing social media safety mobile device usage online privacy and staying current with emerging technologies,LearnFree,computer,computer,https://www.learnfree.org/series/tech-savvy-tips-and-tricks,learnfree,course,0,1,8
Internet Basics,Fundamental concepts of how the internet works including browsers search engines URLs web addresses online navigation and understanding web page structure,LearnFree,internet,,https://www.learnfree.org/series/internet-basics,learnfree,course,0,0,4
Internet Tips and Safety,Advanced internet usage covering online safety cybersecurity awareness password management avoiding scams and protecting personal information while browsing and using online services,LearnFree,internet,internet,https://www.learnfree.org/series/internet-tips,learnfree,course,0,1,3
Software Programming and Database Basics,Comprehensive introduction to programming fundamentals database concepts and software development lifecycle designed to provide foundational knowledge for aspiring developers,IBM,"computer,database",,https://www.edx.org/learn/software-development/ibm-software-programming-and-database-basics,edx,course,0,1,40
Cybersecurity Basics Tools and Cyberattacks,Essential cybersecurity concepts covering common attack vectors security tools threat assessment and defensive strategies for protecting digital assets and personal information,IBM,security,computer,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-basics-tools-and-cyberattacks,edx,course,0,2,30
Git for Distributed Software Development,Comprehensive Git version control training covering repositories branching merging collaboration workflows and distributed development practices essential for modern software teams,Linux Foundation,git,computer,https://www.edx.org/learn/git/the-linux-foundation-git-for-distributed-software-development,edx,course,1,2,25
Introduction to SQL,Fundamental SQL database querying skills including SELECT statements filtering sorting joins and basic data manipulation essential for working with relational databases,IBM,sql,,https://www.edx.org/learn/sql/ibm-introduction-to-sql,edx,course,0,1,20
Introduction to SQL and Relational Databases,Combined course covering SQL fundamentals and relational database theory including entity-relationship modeling normalization and practical database design principles,Universitat Politècnica de València,sql,database,https://www.edx.org/learn/sql/universitat-politecnica-de-valencia-introduction-to-sql-and-relational-databases,edx,course,0,2,30
Exploring GraphQL: A Query Language for APIs,Introduction to GraphQL concepts including schema design query language resolvers and implementation patterns for building efficient and flexible APIs,Linux Foundation,graphql,javascript,https://www.edx.org/learn/graphql/the-linux-foundation-exploring-graphql-a-query-language-for-apis,edx,course,0,3,15
Scripting with Python and SQL for Data Engineering,Advanced Python programming combined with SQL for data processing pipelines ETL operations and automated data workflows in enterprise environments,Pragmatic AI Labs,"python,sql",python,https://www.edx.org/learn/data-engineering/pragmatic-ai-labs-scripting-with-python-and-sql-for-data-engineering,edx,course,1,3,25
Open Source LLMOps,Large language model operations covering deployment monitoring scaling and maintenance of AI systems in production environments with open source tools,Pragmatic AI Labs,ci_cd,python,https://www.edx.org/learn/computer-science/pragmatic-ai-labs-open-source-llmops-2,edx,course,1,4,30
Python Programming Object-Oriented Design,Advanced Python programming focusing on object-oriented principles design patterns inheritance polymorphism and building maintainable scalable applications,Codio,python,python,https://www.edx.org/learn/python/codio-python-programming-object-oriented-design,edx,course,1,3,35
UX UI Design Fundamentals,Comprehensive user experience and interface design principles covering user research wireframing prototyping usability testing and design thinking methodologies,Institute of Product Leadership,ui_ux,,https://www.edx.org/learn/design/institute-of-product-leadership-ipl-ux-ui-design-fundamentals,edx,course,1,2,25
UX Design,Professional user experience design course covering user research personas journey mapping information architecture and creating user-centered digital experiences,HEC Montréal,ui_ux,,https://www.edx.org/learn/ux-design/hec-montreal-ux-design,edx,course,1,2,30
Introduction to User Experience,Foundational UX design concepts including user psychology interface design principles accessibility guidelines and basic usability evaluation methods,HEC Montréal,ui_ux,,https://www.edx.org/learn/user-experience-ux/hec-montreal-introduction-to-user-experience,edx,course,0,1,20
UX Prototyping,Hands-on prototyping techniques using industry-standard tools for creating interactive mockups wireframes and testing user interface concepts before development,HEC Montréal,ui_ux,ui_ux,https://www.edx.org/learn/design/hec-montreal-ux-prototyping,edx,course,1,2,25
UX Evaluation User Testing,Advanced UX evaluation methods including usability testing A/B testing analytics interpretation and iterative design improvement based on user feedback,HEC Montréal,ui_ux,ui_ux,https://www.edx.org/learn/user-experience-ux/hec-montreal-ux-evaluation-user-testing,edx,course,1,3,20
Agile and Scrum Fundamentals,Comprehensive Agile methodology training covering Scrum framework sprint planning daily standups retrospectives and implementing Agile practices in software development teams,IBM,agile,,https://www.edx.org/learn/agile/ibm-agile-and-scrum-fundamentals,edx,course,0,2,15
Fundamentals of Digital Transformation,Strategic approach to digital transformation covering technology adoption change management digital business models and organizational transformation in the digital economy,Dartmouth College,product,,https://www.edx.org/learn/data-analysis-statistics/dartmouth-college-fundamentals-of-digital-transformation,edx,course,0,2,25
Cybersecurity Compliance and System Administration,Advanced cybersecurity covering compliance frameworks security policies system hardening and administrative controls for enterprise security management,IBM,security,security,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-compliance-and-system-administration,edx,course,0,3,30
Cybersecurity Essentials,Essential cybersecurity concepts covering threat landscape risk assessment security controls incident response and developing organizational security awareness,University System of Maryland,security,computer,https://www.edx.org/learn/computer-science/university-system-of-maryland-cybersecurity-essentials,edx,course,0,2,35
Cybersecurity Capstone and Case Studies,Advanced cybersecurity case studies covering real-world scenarios threat analysis incident investigation and comprehensive security project implementation,IBM,security,security,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-capstone-and-case-studies,edx,course,1,4,40
HTML5 and CSS Fundamentals,Modern HTML5 and CSS development covering semantic markup responsive design CSS Grid Flexbox and contemporary web standards for professional web development,W3C,"html,css",computer,https://www.edx.org/learn/css/the-world-wide-web-consortium-w3c-html5-and-css-fundamentals,edx,course,0,1,25
CSS Basics,Fundamental CSS styling techniques covering selectors properties layout models typography color theory and creating visually appealing web interfaces,W3C,css,html,https://www.edx.org/learn/css/the-world-wide-web-consortium-w3c-css-basics,edx,course,0,1,15
HTML5 Coding Essentials and Best Practices,Advanced HTML5 development techniques covering accessibility semantic web progressive enhancement and industry best practices for maintainable markup,W3C,html,html,https://www.edx.org/learn/html5/the-world-wide-web-consortium-w3c-html5-coding-essentials-and-best-practices,edx,course,0,2,20
JavaScript Introduction,Fundamentals of JavaScript programming covering variables functions objects arrays DOM manipulation and basic programming logic for interactive web development,W3C,javascript,html,https://www.edx.org/learn/javascript/the-world-wide-web-consortium-w3c-javascript-introduction,edx,course,0,1,20
Introduction to Node.js,Server-side JavaScript development with Node.js covering runtime environment npm package management asynchronous programming and building backend applications,Linux Foundation,nodejs,javascript,https://www.edx.org/learn/node-js/the-linux-foundation-introduction-to-node-js,edx,course,0,2,25
Database Basics and Security,Database fundamentals with security considerations covering access controls encryption backup strategies and protecting sensitive data in database systems,IBM,"sql,security",security,https://www.edx.org/learn/network-security/ibm-database-basics-and-security,edx,course,0,2,20
Relational Database Administration (DBA),Professional database administration covering installation configuration performance tuning backup recovery and maintaining enterprise database systems,IBM,postgresql,sql,https://www.edx.org/learn/databases/ibm-relational-database-administration-dba,edx,course,0,3,35
Relational Database Design,Advanced database design principles covering normalization entity-relationship modeling schema optimization and designing efficient scalable database architectures,University of Maryland Baltimore County,database,sql,https://www.edx.org/learn/relational-databases/university-of-maryland-baltimore-county-relational-database-design,edx,course,1,3,30
Networking Basics and Security,Computer networking fundamentals covering protocols network architecture security considerations and basic network administration for IT professionals,IBM,security,computer,https://www.edx.org/learn/computer-science/ibm-networking-basics-and-security,edx,course,0,2,25
DevOps Basics for Everyone,Introduction to DevOps practices covering collaboration culture automation continuous integration deployment pipelines and DevOps toolchain fundamentals,IBM,ci_cd,,https://www.edx.org/learn/devops/ibm-devops-basics-for-everyone,edx,course,0,1,20
Information Technology IT Fundamentals for Everyone,Comprehensive IT fundamentals covering hardware software networks databases cloud computing and essential technology concepts for modern professionals,IBM,computer,,https://www.edx.org/learn/computer-science/ibm-information-technology-it-fundamentals-for-everyone,edx,course,0,1,25
Linux Commands & Shell Scripting,Linux command line proficiency covering bash scripting file systems process management system administration and automation with shell scripts,IBM,"bash,linux",computer,https://www.edx.org/learn/linux/ibm-linux-commands-shell-scripting,edx,course,0,2,30
Introduction to Containers Kubernetes and OpenShift,Container orchestration fundamentals covering Docker Kubernetes deployment scaling service management and enterprise container platform administration,IBM,docker,linux,https://www.edx.org/learn/kubernetes/ibm-introduction-to-containers-kubernetes-and-openshift,edx,course,0,3,35
"Introduction to Cloud Native, DevOps, Agile, and NoSQL",Building applications for cloud environments covering microservices architecture containerization scalability patterns and cloud-native development practices,IBM,"ci_cd,docker",docker,https://www.edx.org/learn/cloud-computing/ibm-developing-cloud-native-applications,edx,course,1,3,40
Linux Tools for Software Development,Linux development environment and tools covering text editors compilers debuggers version control and productive Linux-based software development workflows,Linux Foundation,linux,bash,https://www.edx.org/learn/linux/the-linux-foundation-linux-tools-for-software-development,edx,course,0,3,25
Virtualization Docker and Kubernetes for Data Engineering,Container technologies specifically for data engineering workflows covering Docker Kubernetes data pipelines and containerized analytics environments,Pragmatic AI Labs,docker,python,https://www.edx.org/learn/data-engineering/pragmatic-ai-labs-virtualization-docker-and-kubernetes-for-data-engineering,edx,course,1,3,30
Introduction to DevSecOps for Managers,DevSecOps practices for management covering security integration governance risk management and leading secure development transformation initiatives,Linux Foundation,ci_cd,security,https://www.edx.org/learn/devsecops/the-linux-foundation-introduction-to-devsecops-for-managers,edx,course,0,2,15
Unix Tools Data Software and Production Engineering,Unix tools for software engineering covering command-line utilities data processing automation and production system management in Unix environments,Delft University of Technology,bash,linux,https://www.edx.org/learn/unix/delft-university-of-technology-unix-tools-data-software-and-production-engineering,edx,course,0,3,30
Containers Fundamentals,Basic container concepts and usage covering containerization principles Docker basics image management and container lifecycle for modern application deployment,Linux Foundation,docker,linux,https://www.edx.org/learn/computer-science/the-linux-foundation-containers-fundamentals,edx,course,0,2,20
Full Stack Application Developer Capstone,Comprehensive full-stack cloud application development project combining Django React containers and cloud deployment in a real-world scenario,IBM,"django,react",django,https://www.edx.org/learn/cloud-computing/ibm-cloud-application-developer-capstone,edx,course,1,4,50
Learn How to Code,Introduction to programming concepts covering computational thinking problem-solving logic and fundamental programming principles for complete beginners,Codecademy,computer,,https://www.codecademy.com/learn/learn-how-to-code,codecademy,course,0,0,10
Software Design Principles,Fundamental software design concepts covering SOLID principles design patterns code organization and building maintainable scalable software architectures,Codecademy,computer,computer,https://www.codecademy.com/learn/software-design-principles,codecademy,course,0,2,15
Introduction to Open Source,Open source development and collaboration covering licenses community contribution version control workflows and participating in open source projects,Codecademy,git,computer,https://www.codecademy.com/learn/introduction-to-open-source,codecademy,course,0,1,8
Learn Build Tools,Development build tools and automation covering webpack gulp npm scripts task runners and modern development workflow optimization,Codecademy,"ci_cd,webpack,npm",javascript,https://www.codecademy.com/learn/learn-build-tools,codecademy,course,0,2,12
The DevSecOps Life Cycle,Security integration in development lifecycle covering threat modeling security testing secure coding practices and embedding security throughout development,Codecademy,"ci_cd,security",ci_cd,https://www.codecademy.com/learn/ext-courses/the-devsecops-life-cycle,codecademy,course,0,3,20
DevSecOps Methodologies,DevSecOps practices and methodologies covering security automation vulnerability management compliance and implementing security-first development culture,Codecademy,"ci_cd,security",ci_cd,https://www.codecademy.com/learn/ext-courses/devsecops-methodologies,codecademy,course,0,3,18
